date,transactions,active_addresses,hashrate,difficulty,miners_revenue,transaction_volume_btc
2015-08-22,105665.0,258265.0,412658.093587566,54256630327.89,1114688.756514,269957.02233099
2015-08-23,94529.0,243426.0,369504.306022853,54256630327.89,883287.12071523,197146.80871133
2015-08-24,125368.0,247849.0,423446.540478744,54256630327.89,947272.889596924,505841.59315985
2015-08-25,121973.0,242047.0,372201.417745648,54256630327.89,833857.327483683,469416.85701102
2015-08-26,122852.0,237648.0,418052.317033155,54256630327.89,1111421.56469882,372177.12517578
2015-08-27,119917.0,233997.0,401869.646696388,54256630327.89,894643.416716403,253375.26069334
2015-08-28,120547.0,243645.0,401869.646696388,54256630327.89,996417.489798501,362617.658973
2015-08-29,107489.0,243100.0,445023.434261101,54256630327.89,1104913.11274019,204970.24588156
2015-08-30,98339.0,245385.0,388384.088082415,54256630327.89,1026749.70435154,191350.31622511
2015-08-31,127260.0,247407.0,428840.763924333,54256630327.89,1166315.14883878,334287.50263151
2015-09-01,130410.0,253803.0,409960.981864772,54256630327.89,996219.655070932,331058.22172993
2015-09-02,150066.0,239660.0,415355.205310361,54256630327.89,1028141.3362183,270146.32734632
2015-09-03,128682.0,246972.0,407263.870141977,54256630327.89,946813.724187596,274249.79040576
2015-09-04,103973.0,217670.0,430369.769449567,56957648455.01,983178.575379109,262791.46636124
2015-09-05,124218.0,269716.0,427538.389387399,56957648455.01,1004753.90667431,187132.17745253
2015-09-06,106293.0,252302.0,450189.429884745,56957648455.01,1066585.28110236,279973.86741221
2015-09-07,125467.0,263783.0,385067.688454876,56957648455.01,980256.737882261,250457.88977899
2015-09-08,125379.0,274079.0,393561.828641381,56957648455.01,884157.909211509,312508.38495475
2015-09-09,126457.0,251368.0,399224.588765717,56957648455.01,1075638.06749423,328036.43287174
2015-09-10,124951.0,233575.0,478503.230506427,56957648455.01,1395881.10717179,309243.61714798
2015-09-11,180002.0,276094.0,489828.750755099,56957648455.01,1048514.72308529,263738.89585094
2015-09-12,137740.0,229007.0,385067.688454876,56957648455.01,925443.559872146,146359.54722157
2015-09-13,146048.0,277388.0,396393.208703549,56957648455.01,962877.92093509,201287.70960727
2015-09-14,166715.0,251592.0,450189.429884745,56957648455.01,985208.4662242,274829.94761492
2015-09-15,162999.0,268665.0,461514.950133417,56957648455.01,1017982.81185978,272399.66363096
2015-09-16,167269.0,245432.0,421875.629263062,56957648455.01,878460.558930335,259124.15289143
2015-09-17,259279.0,266333.0,399224.588765717,56957648455.01,965862.199522043,302488.61385054
2015-09-18,161504.0,259008.0,424738.988410217,59335351233.8666,1045660.47046356,331877.96726311
2015-09-19,114851.0,221522.0,389344.072709366,59335351233.8666,778412.490972329,235467.3390766
2015-09-20,109158.0,300561.0,353949.157008514,59335351233.8666,845718.999559717,249703.0931037
2015-09-21,131679.0,291556.0,389344.072709366,59335351233.8666,824073.058883626,370359.14163917
2015-09-22,136784.0,304462.0,471932.209344685,59335351233.8666,1007970.00409128,351338.84559779
2015-09-23,131400.0,244535.0,442436.446260643,59335351233.8666,1043257.70621495,292105.97927273
2015-09-24,125367.0,243301.0,427688.564718621,59335351233.8666,923866.457266453,291785.81421388
2015-09-25,128166.0,243983.0,477831.361961494,59335351233.8666,1145777.71973395,303553.19412712
2015-09-26,115622.0,245195.0,448335.598877451,59335351233.8666,1220066.01825703,194986.16733875
2015-09-27,108749.0,256084.0,424738.988410217,59335351233.8666,1029150.16396941,167177.86346634
2015-09-28,138570.0,248280.0,409991.106868195,59335351233.8666,1047573.37815367,340214.46886604
2015-09-29,140664.0,273176.0,510276.701353941,59335351233.8666,1259186.30740058,363181.57960539
2015-09-30,139848.0,264581.0,457184.327802664,59335351233.8666,979289.075701089,340660.20213622
2015-10-01,134327.0,248462.0,465548.431663339,60813224039.4403,1034425.38573053,366628.10218649
2015-10-02,139746.0,256031.0,377880.220505957,60813224039.4403,874869.524902395,335232.73442305
2015-10-03,119567.0,213681.0,459502.348135243,60813224039.4403,1015435.61556746,182930.99399692
2015-10-04,103531.0,265061.0,456479.306371196,60813224039.4403,991818.86960847,144578.71748019
2015-10-05,125548.0,233960.0,447410.181079053,60813224039.4403,1004466.6374232,309492.16973014
2015-10-06,144510.0,251844.0,450433.2228431,60813224039.4403,1006233.85631681,326517.55742856
2015-10-07,134931.0,250370.0,408110.638146433,60813224039.4403,971432.158899048,366106.91259616
2015-10-08,140348.0,258198.0,414156.721674529,60813224039.4403,946915.535039047,476850.16927441
2015-10-09,114644.0,209703.0,402064.554618338,60813224039.4403,835694.014570838,290773.09475946
2015-10-10,127005.0,270141.0,450433.2228431,60813224039.4403,1120907.08993729,228497.20218295
2015-10-11,104550.0,240051.0,453456.264607148,60813224039.4403,1027072.83493905,175251.48832449
2015-10-12,134410.0,233677.0,423225.846966672,60813224039.4403,971477.171299094,286077.60083294
2015-10-13,134878.0,239237.0,405087.596382386,60813224039.4403,919373.613058023,342668.54733162
2015-10-14,141985.0,246958.0,459502.348135243,60813224039.4403,1141735.68737837,374806.19828966
2015-10-15,153495.0,303248.0,493327.875053937,60883825480.0983,1129159.01952563,359648.29763185
2015-10-16,143286.0,273117.0,469115.464008345,60883825480.0983,1060255.17248348,354033.44621876
2015-10-17,135911.0,307347.0,396478.230871569,60883825480.0983,951378.593521099,327457.425788
2015-10-18,119706.0,276825.0,432796.847439957,60883825480.0983,1073284.22200386,218254.61888013
2015-10-19,143969.0,277830.0,502407.529196034,60883825480.0983,1395310.92602596,382680.76594057
2015-10-20,146349.0,303898.0,384372.025348773,60883825480.0983,934359.939853749,334803.28318382
2015-10-21,150199.0,289412.0,438849.950201355,60883825480.0983,1125150.56626729,345602.7630727
2015-10-22,147402.0,284740.0,475168.566769743,60883825480.0983,1209253.90418724,383617.64945825
2015-10-23,143468.0,281026.0,466088.912627646,60883825480.0983,1142674.31870422,320677.0768442
